,Nombre,product ID,category ID
77,"CA!mara de vigilancia IP - Xiaomi Smart Camera C200, Full HD, 360 grados de visiA3n, Blanco",9,13
78,"MA3vil - Xiaomi Redmi Note 12 Pro 5G, Azul, 256 GB, 8 GB RAM, 6.67 AMOLED FHD+ 120Hz, MediaTek Dimensity 1080 2,6 Ghz, 5000 mAh, Android",18,3
79,"PortA!til - Lenovo IdeaPad 1 15ALC7, 15.6 FullHD, AMD RyzenaC/ 5 5500U, 16GB RAM, 512GB SSD, RadeonaC/ Onboard Graphics, Windows 11 Home",19,2
80,"Lavavajillas - DF455HSS con Vapor, 14 servicios, 10 programas, 60 cm,LED tA!ctil, Tercera bandeja, TruesteamaC/, QuadWashaC/, Acero antihuellas",23,4
81,"TV OLED 77 - OLED77C35LA, OLED 4K, Inteligente I+-9 4K Gen6, Smart TV, DVB-T2 (H.265), Negro",24,1
82,"Centro de planchado - Philips PSG6022/20, 2400 W, DepA3sito de 1,8 L, 6.5 bares, SteamGlide Plus, Blanco/Azul",25,5
83,"Secador - Dyson SupersonicaC/ Origin, 1600 W, 3 Velocidades, Incluye Boquilla concentradora, Negro/ NAquel",26,6
84,"Smartwatch - Samsung Galaxy Watch6 BT 44mm, 1.47, Exynos W930, 16GB, 2GB RAM, 425mAh, Grafito",27,8
85,"Bicicleta elA(c)ctrica - Youin You Ride Texas, 250 W, 25km/h, 20 , SuspensiA3n frontal, Pantalla LCD, Negro",28,9
86,"Auriculares inalA!mbricos - Sony WH-CH720NB, CancelaciA3n ruido (Noise Cancelling), 35h, Carga RA!pida, Con Asistente, Bluetooth, De Diadema, ANC, Negro",29,11
87,"Disco duro SSD interno 1TB - WD_Black SN850 NVMe SSD para consolas PS5aC/, Con licencia oficial, 7000MB/s, Negro",30,10
88,PS5 Grand Theft Auto V,20,7
89,"CA!mara EVIL - Canon EOS M50 Mark II 15-45, Con objetivo EF-M 15-45 mm IS STM, 24.1 MP, 4K, Montura EF-M, Negro",21,12
90,"CA!mara de seguridad - Ezviz TY1 4MP, WQHD 2560 x 1440, WiFi, VisiA3n nocturna, Two-way audio, Interior, Blanco",22,13
91,"iPhone 14, Blanco estrella, 128 GB, 5G, 6.1 OLED Super Retina XDR, Chip A15 Bionic, iOS",31,3
92,"All in one - 24-cb1005ns, 23.8 Full HD, IntelA(r) CoreaC/ i3-1215U, 8GB RAM, 512GB SSD, W11 H, Blanco",32,2
93,"Placa inducciA3n - Balay 3EB967FRE, 3 zonas, 32 cm, Negro",36,4
94,"TV LED 50 - Xiaomi TV A2, UHD 4K, Smart TV, HDR10, Dolby Vision, Dolby AudioaC/, DTS-HDA(r), Inmersive Limitless Unibody, Negro",37,1
95,"Aspirador escoba - Dyson v11aC/ Fluffy, Potencia 185 W, Incluye accesorios, AutonomAa 60 min, Plata",38,5
96,"Afeitadora - Braun Series 5 51-R1200s, 3 Cuchillas, Afeitadora elA(c)ctrica para barba, EasyClean, Wet & Dry, Rojo",39,6
97,"Apple Watch Series 9 (2023), GPS, 41 mm, Gesto de doble toque, Caja de aluminio blanco estrella, Correa deportiva blanco estrella, Talla S/M",40,8
98,"Patinete elA(c)ctrico - Xiaomi Electric Scooter 4, Vel. 25 km/hm, AutonomAa 35 km, BaterAa 7650mAh, Pantalla, Bluetooth, Negro",41,9
99,"Altavoz de gran potencia - Vieta Pro Party 2, 100W, Hasta 9hs, Efecto de luces, FM, Karoake, Negro",42,11
100,"Auriculares gaming - Razer Barracuda X, MicrA3fono extraAble, CancelaciA3n de ruido pasiva, Bluetooth 5.2, Negro",43,10
101,Nintendo Switch Sonic Superstars,33,7
102,"CA!mara Bridge - Panasonic Lumix FZ300, 26-600 mm f/2.8, VAdeo en 4K, Wi-Fi, Negro",34,12
103,"CA!mara de vigilancia IP - TP-Link Tapo C320WS, 2K QHD, Sensor Nocturno, IP66, Control por voz, Blanco",35,13
