Product ID,N_Extracción,Datos
55,Extracción 264,"['2023/10/24 09:50:33', '257.00']"
55,Extracción 265,"['2023/10/24 12:38:33', '257.00']"
55,Extracción 266,"['2023/10/24 15:26:33', '257.00']"
55,Extracción 267,"['2023/10/24 22:26:33', '257.00']"
55,Extracción 268,"['2023/10/25 01:14:33', '257.00']"
55,Extracción 269,"['2023/10/25 04:02:33', '257.00']"
55,Extracción 270,"['2023/10/25 09:38:33', '257.00']"
55,Extracción 271,"['2023/10/25 12:26:33', '257.00']"
55,Extracción 272,"['2023/10/25 15:14:33', '257.00']"
55,Extracción 273,"['2023/10/25 20:50:33', '257.00']"
55,Extracción 274,"['2023/10/25 23:38:33', '257.00']"
55,Extracción 275,"['2023/10/26 02:26:33', '257.00']"
55,Extracción 276,"['2023/10/26 08:02:33', '257.00']"
55,Extracción 277,"['2023/10/26 10:50:33', '257.00']"
55,Extracción 278,"['2023/10/26 13:38:33', '257.00']"
55,Extracción 279,"['2023/10/26 19:14:33', '257.00']"
55,Extracción 280,"['2023/10/26 22:02:33', '257.00']"
55,Extracción 281,"['2023/10/26 22:02:33', '257.00']"
55,Extracción 282,"['2023/10/27 03:38:33', '257.00']"
55,Extracción 283,"['2023/10/27 06:26:33', '257.00']"
55,Extracción 284,"['2023/10/27 12:02:33', '257.00']"
55,Extracción 285,"['2023/10/27 14:50:33', '257.00']"
55,Extracción 286,"['2023/10/27 19:02:33', '257.00']"
55,Extracción 287,"['2023/10/28 00:38:33', '257.00']"
55,Extracción 288,"['2023/10/28 03:26:33', '257.00']"
55,Extracción 289,"['2023/10/28 06:14:33', '257.00']"
55,Extracción 290,"['2023/10/28 11:50:33', '257.00']"
55,Extracción 291,"['2023/10/28 14:38:33', '257.00']"
55,Extracción 292,"['2023/10/28 17:26:33', '257.00']"
55,Extracción 293,"['2023/10/28 23:02:33', '257.00']"
55,Extracción 294,"['2023/10/29 01:50:33', '257.00']"
55,Extracción 295,"['2023/10/29 03:38:33', '257.00']"
55,Extracción 296,"['2023/10/29 09:14:33', '257.00']"
55,Extracción 297,"['2023/10/29 12:02:33', '257.00']"
55,Extracción 298,"['2023/10/29 14:50:33', '257.00']"
55,Extracción 299,"['2023/10/29 20:26:33', '257.00']"
55,Extracción 300,"['2023/10/29 23:14:33', '257.00']"
55,Extracción 301,"['2023/10/29 23:14:33', '257.00']"
55,Extracción 302,"['2023/10/30 04:50:33', '257.00']"
55,Extracción 303,"['2023/10/30 07:38:33', '257.00']"
55,Extracción 304,"['2023/10/30 13:48:18', '279.00']"
55,Extracción 305,"['2023/10/30 16:36:18', '279.00']"
55,Extracción 306,"['2023/10/30 19:24:18', '279.00']"
55,Extracción 307,"['2023/10/31 01:00:18', '279.00']"
55,Extracción 308,"['2023/10/31 03:48:18', '279.00']"
55,Extracción 309,"['2023/10/31 06:36:18', '279.00']"
55,Extracción 310,"['2023/10/31 12:12:18', '279.00']"
55,Extracción 311,"['2023/10/31 15:00:18', '279.00']"
55,Extracción 312,"['2023/10/31 19:08:06', '255.00']"
55,Extracción 313,"['2023/11/01 00:44:06', '255.00']"
55,Extracción 314,"['2023/11/01 03:32:06', '255.00']"
55,Extracción 315,"['2023/11/01 06:20:06', '255.00']"
55,Extracción 316,"['2023/11/01 11:56:06', '255.00']"
55,Extracción 317,"['2023/11/01 14:44:06', '255.00']"
55,Extracción 318,"['2023/11/01 17:32:06', '255.00']"
55,Extracción 319,"['2023/11/01 23:08:06', '255.00']"
55,Extracción 320,"['2023/11/02 01:56:06', '255.00']"
55,Extracción 321,"['2023/11/02 01:56:06', '255.00']"
55,Extracción 322,"['2023/11/02 07:32:06', '255.00']"
55,Extracción 323,"['2023/11/02 10:20:06', '255.00']"
55,Extracción 324,"['2023/11/02 15:56:06', '255.00']"
55,Extracción 325,"['2023/11/02 18:44:06', '255.00']"
55,Extracción 326,"['2023/11/02 21:32:06', '255.00']"
55,Extracción 327,"['2023/11/03 03:08:06', '255.00']"
55,Extracción 328,"['2023/11/03 05:56:06', '255.00']"
55,Extracción 329,"['2023/11/03 08:44:06', '255.00']"
55,Extracción 330,"['2023/11/03 15:44:06', '255.00']"
55,Extracción 331,"['2023/11/03 18:32:06', '255.00']"
55,Extracción 332,"['2023/11/03 21:20:06', '255.00']"
55,Extracción 333,"['2023/11/04 02:56:06', '255.00']"
55,Extracción 334,"['2023/11/04 05:44:06', '255.00']"
55,Extracción 335,"['2023/11/04 08:32:06', '255.00']"
55,Extracción 336,"['2023/11/04 14:08:06', '255.00']"
55,Extracción 337,"['2023/11/04 16:56:06', '255.00']"
55,Extracción 338,"['2023/11/04 19:44:06', '255.00']"
55,Extracción 339,"['2023/11/05 01:20:06', '255.00']"
55,Extracción 340,"['2023/11/05 04:08:06', '255.00']"
55,Extracción 341,"['2023/11/05 04:08:06', '255.00']"
55,Extracción 342,"['2023/11/05 09:44:06', '255.00']"
55,Extracción 343,"['2023/11/05 12:32:06', '255.00']"
55,Extracción 344,"['2023/11/05 18:08:06', '255.00']"
55,Extracción 345,"['2023/11/05 20:56:06', '255.00']"
55,Extracción 346,"['2023/11/05 23:44:06', '255.00']"
55,Extracción 347,"['2023/11/06 05:20:06', '255.00']"
55,Extracción 348,"['2023/11/06 08:08:06', '255.00']"
55,Extracción 349,"['2023/11/06 10:56:06', '255.00']"
55,Extracción 350,"['2023/11/06 17:37:27', '259.00']"
55,Extracción 351,"['2023/11/06 20:25:27', '259.00']"
55,Extracción 352,"['2023/11/06 23:13:27', '259.00']"
55,Extracción 353,"['2023/11/07 04:49:27', '259.00']"
55,Extracción 354,"['2023/11/07 07:37:27', '259.00']"
55,Extracción 355,"['2023/11/07 10:25:27', '259.00']"
55,Extracción 356,"['2023/11/07 16:33:04', '279.00']"
55,Extracción 357,"['2023/11/07 19:21:04', '279.00']"
55,Extracción 358,"['2023/11/07 22:09:04', '279.00']"
55,Extracción 359,"['2023/11/08 03:45:04', '279.00']"
55,Extracción 360,"['2023/11/08 06:33:04', '279.00']"
55,Extracción 361,"['2023/11/08 06:33:04', '279.00']"
55,Extracción 362,"['2023/11/08 12:09:04', '279.00']"
55,Extracción 363,"['2023/11/08 14:57:04', '279.00']"
55,Extracción 364,"['2023/11/08 20:33:04', '279.00']"
55,Extracción 365,"['2023/11/08 23:21:04', '279.00']"
55,Extracción 366,"['2023/11/09 02:09:04', '279.00']"
55,Extracción 367,"['2023/11/09 07:45:04', '279.00']"
55,Extracción 368,"['2023/11/09 10:33:04', '279.00']"
55,Extracción 369,"['2023/11/09 13:21:04', '279.00']"
55,Extracción 370,"['2023/11/09 18:57:04', '279.00']"
55,Extracción 371,"['2023/11/09 23:09:04', '279.00']"
55,Extracción 372,"['2023/11/10 01:57:04', '279.00']"
55,Extracción 373,"['2023/11/10 07:33:04', '279.00']"
55,Extracción 374,"['2023/11/10 08:47:51', '249.00']"
